StripCh, AdcCh0, AdcCh1, AdcCh2, AdcCh3, AdcCh4, AdcCh5, AdcCh6, AdcCh7, AdcCh8, AdcCh9, AdcCh10, AdcCh11, AdcCh12, AdcCh13, AdcCh14, AdcCh15, AdcCh16, AdcCh17, AdcCh18, AdcCh19, AdcCh20, AdcCh21, AdcCh22, AdcCh23, AdcCh24, AdcCh25, AdcCh26, AdcCh27, AdcCh28, AdcCh29, AdcCh30, AdcCh31
0, 4.28825, 4.29353, 4.29093, 4.28812, 4.29069, 4.29067, 4.28807, 5.03602, 5.05, 5.07147, 5.08246, 5.11248, 5.11247, 3.29888, 3.33034, 3.33296, 3.29365, 3.2069, 3.24027, 3.1891, 2.14695, 2.13786, 2.94855, 2.18048, 2.09511, 2.09511, 2.09511, 1.64446, 1.64446, 1.52206, 0.96325, 3.36399, 
1, 4.27774, 4.29635, 4.28038, 4.29366, 4.29601, 4.29331, 4.29343, 4.27764, 4.28025, 4.22389, 4.22389, 4.22896, 3.35737, 3.35737, 3.29438, 3.54432, 3.18323, 3.20877, 3.17814, 2.13528, 2.12255, 2.34888, 2.18336, 2.37709, 2.04778, 2.02026, 2.02026, 1.55103, 1.44181, 1.30461, 1.06102, 0, 
2, 4.25631, 4.25631, 4.25628, 4.25373, 4.26181, 4.27252, 4.27245, 4.24171, 4.2417, 3.36525, 3.34948, 3.34423, 3.32058, 3.32058, 3.29436, 3.28388, 3.26822, 3.2062, 3.1934, 2.12393, 2.12391, 2.12832, 3.08001, 3.13243, 2.57781, 2.04848, 2.10017, 1.48567, 1.60232, 1.28335, 0.793718, 0.756599, 
3, 4.2534, 4.26428, 4.26161, 4.26425, 4.26964, 4.24597, 4.26174, 4.22856, 4.21596, 3.36259, 3.36788, 6.83256, 3.31795, 3.29175, 3.27345, 3.26304, 3.22675, 3.21131, 2.12393, 2.12393, 2.12393, 3.12645, 2.46682, 3.21291, 2.08831, 1.7644, 1.57241, 1.57338, 1.46747, 1.0763, 1.45357, 0, 
4, 4.25323, 4.25602, 4.24519, 4.24512, 4.26962, 4.26431, 4.26171, 4.25128, 4.24103, 4.2315, 3.3416, 3.32583, 3.32058, 3.30484, 3.27345, 3.24484, 3.25519, 3.18967, 2.14149, 2.16695, 2.16695, 1.60611, 1.60611, 1.60611, 2.10367, 2.10367, 2.06575, 1.54568, 1.49762, 1.66485, 1.05146, 0, 
5, 4.25913, 4.25387, 4.2671, 4.26979, 4.27769, 4.24425, 4.2366, 4.24426, 4.22135, 4.21629, 3.31009, 3.27867, 3.31533, 3.25132, 3.23842, 3.18215, 3.18216, 3.17207, 2.17671, 2.12628, 2.12634, 2.20794, 5.06532, 3.14639, 2.14819, 1.90296, 2.09125, 1.55553, 1.16584, 1.51841, 1.11627, 0, 
6, 4.24501, 4.25058, 4.25058, 4.25064, 4.24294, 4.25112, 4.25117, 4.25393, 4.24098, 5.09395, 5.09022, 5.09021, 3.3251, 3.3146, 3.30412, 3.239, 3.18518, 2.17247, 2.12646, 2.15447, 2.13152, 2.12393, 2.1283, 2.12999, 2.2499, 2.05138, 1.63642, 1.46356, 1.6353, 1.17614, 1.13334, 1.45048, 
7, 4.25375, 4.2591, 4.2671, 4.27504, 4.26736, 4.25964, 4.25707, 4.2545, 4.23915, 4.22896, 3.2787, 3.25262, 3.28652, 3.20875, 3.21901, 3.22157, 3.18576, 2.25902, 2.21951, 2.15489, 2.14978, 2.12439, 6.36162, 2.25041, 2.12707, 1.98357, 1.74556, 1.74556, 1.51045, 1.22264, 1.04216, -5.15279, 
8, 4.19876, 4.20173, 4.2021, 4.20238, 4.20003, 4.20882, 4.20647, 4.20932, 4.19963, 4.20215, 4.20801, 3.33631, 3.3416, 3.31532, 3.24486, 3.27867, 3.25003, 3.2319, 3.1985, 2.20872, 2.18276, 2.19833, 2.183, 2.77692, 2.12548, 2.12548, 2.12548, 1.49327, 1.31668, 1.03539, 1.00321, 0, 
9, 4.35075, 4.35337, 4.34542, 4.34543, 4.31144, 4.29323, 4.28545, 4.27252, 4.24426, 4.26479, 4.23151, 4.23403, 4.22895, 3.32846, 3.28717, 3.28718, 3.27901, 3.23133, 3.21131, 2.12347, 2.20517, 2.12348, 2.31335, 2.31335, 2.19984, 2.14589, 1.59129, 1.59129, 1.462, 1.57914, 1.03277, 1.94056, 
