StripCh, AdcCh0, AdcCh1, AdcCh2, AdcCh3, AdcCh4, AdcCh5, AdcCh6, AdcCh7, AdcCh8, AdcCh9, AdcCh10, AdcCh11, AdcCh12, AdcCh13, AdcCh14, AdcCh15, AdcCh16, AdcCh17, AdcCh18, AdcCh19, AdcCh20, AdcCh21, AdcCh22, AdcCh23, AdcCh24, AdcCh25, AdcCh26, AdcCh27, AdcCh28, AdcCh29, AdcCh30, AdcCh31
0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 2.3167,1.01295,1.86128,1.08806,1.90488,2.26583,2.06449,2.82916,3.60008,3.42065,3.8661,3.46551,4.13629,4.10604,4.6798,5.55504,5.40795,5.32554,6.44802,5.95459,6.05056,6.80166,7.71238,7.59554,7.84904,8.42175,8.17243,8.65439,9.01325,9.15721,9.39819,9.84364,
2.65179,1.61174,1.42013,1.53535,1.67955,2.52141,2.72171,2.55897,3.67415,3.37475,4.23018,4.69857,4.80289,5.23478,5.01258,5.59885,5.77828,6.50644,7.15844,6.858,7.35873,7.57676,8.42593,8.07437,8.32891,8.69507,9.58179,9.16556,10.336,10.2547,10.1691,11.3751,
2.39429,1.13813,1.0505,1.42397,1.90593,1.89028,2.4004,2.89801,2.5694,3.47281,3.19219,3.73153,4.58591,4.05283,4.59738,4.85505,5.26294,5.86904,5.83775,6.29571,6.68274,6.46262,7.23564,7.824,7.33891,7.97631,8.99238,8.37481,8.77018,8.90371,10.07,9.37211,
2.63489,1.24767,1.3572,1.90488,1.87672,2.24288,2.86358,2.72588,4.02362,3.57192,4.29694,3.77325,5.22956,5.19201,5.25564,5.68022,5.70526,6.86008,7.11358,7.12506,7.13236,8.27988,7.86156,8.92666,8.58971,9.38254,9.75392,10.335,10.4643,11.1998,11.0287,11.9572,
2.29229,1.13604,1.13604,1.89758,1.96539,1.74423,2.64347,3.39457,3.23601,3.37684,3.60843,3.94121,3.88488,4.45759,5.14924,5.0397,4.85088,5.97076,6.17006,6.13581,6.02993,6.9425,7.63727,7.52669,7.56111,8.47496,8.61057,8.55424,8.65856,9.06124,9.37837,9.86033,
2.58426,0.762579,1.35369,1.6433,1.62046,2.46925,2.84794,3.58756,3.17654,3.77534,3.57818,4.419,4.47428,5.65727,5.82836,5.52374,5.69796,6.37187,6.58781,6.78706,7.23668,7.88972,8.68568,8.51147,8.86824,9.611,10.0857,9.99803,9.53798,10.9536,11.0298,10.5822,
2.33442,0.85751,1.06406,1.68274,2.08653,2.15504,2.05228,2.08861,2.93974,3.62825,3.6825,3.58339,4.75073,5.31093,4.63389,4.84045,5.09082,5.71465,6.10585,6.37708,6.375,7.02074,7.32848,7.94188,7.94918,8.33621,9.14991,9.0122,8.67525,9.61622,9.2897,9.97612,
2.72293,0.91593,0.697901,2.08744,2.51411,2.21784,2.84794,3.02841,3.19011,3.45299,4.29903,3.7889,4.46281,4.51914,5.57799,6.17366,6.22686,6.80897,7.16783,7.71238,7.28154,8.3769,8.62726,9.06854,9.10192,9.52129,9.76122,10.5947,10.5468,10.1587,10.9213,10.7011,
2.22764,0.884634,0.646758,1.41909,2.50785,2.2142,2.59444,2.47134,3.3445,3.38518,3.57192,3.74717,3.71796,4.71839,4.69962,5.13985,5.50392,5.68544,6.41046,6.59407,6.72342,6.84339,7.38794,7.7708,8.38003,8.03577,8.17556,8.53755,8.78583,9.23336,9.85511,9.3116,
2.24374,0.949312,1.48447,2.42022,1.80682,2.12604,3.68354,3.10978,2.84689,2.99503,3.3445,4.62868,4.07891,4.81124,5.43194,5.85757,5.98692,6.44593,7.71551,7.0489,7.60701,8.65021,7.90224,8.08584,9.16347,9.36063,9.0049,10.0867,10.0168,10.1044,10.2797,11.1059,
