StripCh, AdcCh0, AdcCh1, AdcCh2, AdcCh3, AdcCh4, AdcCh5, AdcCh6, AdcCh7, AdcCh8, AdcCh9, AdcCh10, AdcCh11, AdcCh12, AdcCh13, AdcCh14, AdcCh15, AdcCh16, AdcCh17, AdcCh18, AdcCh19, AdcCh20, AdcCh21, AdcCh22, AdcCh23, AdcCh24, AdcCh25, AdcCh26, AdcCh27, AdcCh28, AdcCh29, AdcCh30, AdcCh31
0, 1.808,1.9983,1.85817,2.23349,2.15608,3.26986,2.92005,2.86711,3.48162,3.67365,4.07265,4.25,4.95103,4.65789,5.31406,5.84609,5.70526,5.90347,5.99527,6.64101,6.63267,7.57885,7.74159,7.6091,7.87825,8.63561,8.67316,9.19059,9.50772,9.71011,10.2933,10.3214,
1, 2.39451,1.58566,1.88298,2.55584,2.93562,3.07472,3.28543,3.72866,4.0497,4.79037,4.94268,4.91869,4.95311,5.64058,6.21956,6.87469,6.55234,6.17366,7.0343,7.39003,8.24754,8.57928,8.73054,9.71949,9.5505,9.50564,9.94796,11.1289,11.0882,11.1894,11.4397,11.3542,
2, 1.83399,1.59659,1.8509,2.16151,2.40312,2.97714,3.15046,3.02528,3.69919,4.06118,3.72631,4.26669,4.88948,4.85088,4.68397,5.39647,6.20391,6.37917,6.28215,6.54504,7.07811,7.37855,7.28571,7.679,8.86198,8.83486,8.53964,8.51356,8.61892,9.53068,10.0658,10.3538,
3, 2.09562,2.60969,1.9946,2.71764,2.43115,3.41335,3.43004,3.67519,3.65955,4.22392,5.11794,4.94477,5.12316,5.5759,6.05578,6.05369,6.79958,6.76515,7.72281,7.45262,7.64561,8.52503,8.5532,8.99134,8.99343,9.96986,11.0976,10.9244,11.1257,11.3521,11.663,12.3932,
4, 2.19163,1.4031,1.95183,2.3834,2.01025,2.3917,3.1296,2.86919,3.41335,3.64911,4.86653,4.33971,4.64433,5.16175,4.83732,5.81062,6.01405,6.71821,6.08394,6.6045,7.39733,7.55798,7.70195,7.87929,7.73741,8.09732,9.41384,8.97882,9.20833,9.25318,9.9177,10.0523,
5, 2.14201,1.29252,2.33455,1.89346,1.94225,3.1536,3.70336,3.89635,3.37781,3.83689,4.46594,5.16593,5.04492,5.28902,6.23834,5.64267,6.82879,7.01865,6.91224,8.31848,7.78227,8.17347,9.00699,8.80774,9.77687,9.20415,10.4685,10.6114,10.7982,11.3792,11.5722,12.0709,
6, 1.82522,1.75884,1.5648,2.34929,1.98169,2.3931,2.71962,3.65955,3.47386,4.26877,3.70127,4.40856,4.47324,4.5181,5.21496,5.1169,5.5926,5.83462,6.32909,6.8194,6.67857,7.29718,7.46931,8.03577,8.21416,8.83173,8.98404,9.01325,9.13635,9.53172,10.0043,10.1263,
7, 2.20494,1.71293,1.53037,3.01555,2.75605,2.81417,2.75708,3.77638,3.76595,3.52497,4.057,5.12107,5.72717,5.91912,5.87739,5.95772,6.51374,7.55381,7.74263,7.81357,7.95857,8.10775,9.34916,9.52442,10.1034,9.67672,9.99594,10.4831,11.1424,11.3312,11.5336,12.0636,
8, 1.82605,1.56584,1.98312,2.62678,2.17507,2.95852,3.18593,3.21723,3.53645,4.1655,3.56253,4.48054,5.02196,4.90617,4.85088,5.385,5.50079,6.33014,6.70152,6.93206,6.85591,7.45262,7.93875,8.2152,7.93041,8.621,9.24797,9.62874,9.46391,9.49625,9.39819,9.93231,
9, 1.98209,1.02442,1.99622,2.60206,3.48846,2.51419,3.84211,4.04344,3.87549,4.02049,4.28547,4.88531,5.45489,5.99318,6.40212,6.61702,6.17366,6.82566,7.76349,7.59345,7.68421,8.20268,8.56884,8.89224,9.5119,10.2526,10.264,10.2296,11.3917,10.6803,11.7673,11.8257,
10, 1.99945,1.91837,1.47613,2.01802,1.84779,3.02841,2.93035,3.1442,3.44986,3.90157,3.75552,4.4263,4.4795,4.69127,5.05013,5.37457,5.62702,5.74282,6.3364,6.64727,6.34161,7.09585,7.0489,7.93458,7.5246,7.95753,8.74097,8.76914,9.49729,9.36689,9.81651,10.4518,
11, 2.06373,1.93083,1.96301,1.98065,2.61739,3.50202,3.54479,3.9047,4.65997,4.7716,4.16132,4.96042,5.25564,5.91494,5.50079,5.89825,6.14549,7.10315,7.46618,7.5632,8.20477,8.49582,8.83277,9.72262,9.54006,9.64438,10.359,10.9181,11.277,11.0277,11.4606,11.9499,
12, 1.85326,1.32463,1.45957,2.22202,2.61384,2.91261,3.22766,2.90323,3.81394,3.90783,4.1196,4.18428,4.5567,5.07412,4.9698,5.18679,5.74386,6.89555,6.85591,6.81523,7.20121,7.30553,7.76871,7.46514,8.40819,8.56467,8.53755,9.38358,9.48999,9.35124,9.67359,9.89058,
13, 2.07757,1.56856,1.63603,2.09286,2.58685,2.90218,3.32155,2.92409,4.17384,4.10082,4.74552,4.8394,5.53835,6.16948,5.72404,5.83462,6.32492,6.9644,7.07394,8.9131,7.43384,8.70759,9.09149,9.79356,9.79982,9.53068,10.1347,10.914,10.8357,11.9217,11.7548,12.0949,
14, 2.15464,0.813696,1.25405,1.83257,2.75812,2.25261,2.95327,2.69065,3.2527,3.53645,4.07683,4.46072,4.63807,5.0543,5.27859,5.33388,5.85548,5.82627,6.26233,7.01448,6.79436,7.19078,7.61119,7.7322,8.15469,7.95336,8.66273,8.6982,8.79835,9.4879,9.96047,10.2046,
15, 2.16309,1.9183,1.82121,1.9121,2.18478,2.81351,3.5135,3.63764,3.77951,4.19992,4.42212,4.88948,5.48202,5.75325,5.79915,6.46367,6.85591,7.04995,6.82357,8.01908,7.30344,8.44783,9.23232,9.15825,9.40653,10.529,9.99386,10.4508,10.7742,10.4748,10.9317,11.5993,
16, 1.92602,1.99518,1.9983,2.14777,2.15089,2.4488,2.70084,3.0305,3.61677,3.38831,4.13003,4.8175,4.64954,4.81854,5.47158,5.83879,6.24877,6.19556,6.72134,6.82148,7.06455,7.22207,8.07437,7.8386,8.4447,8.67421,8.57406,9.16138,9.64751,9.54319,10.4497,9.83425,
